condition,n,accuracy,macro_f1,hallucinated_recall,hallucinated_precision,not_hallucinated_recall,attempt0_abstain_rate,correction_success_rate_among_attempted,max_attempts_reached_rate
A_reranked,300,0.5866666666666667,0.5812885507181127,0.8974358974358975,0.4838709677419355,0.3879781420765027,0.0,0.08294930875576037,0.6633333333333333
B_no_reranker,300,0.5866666666666667,0.5812885507181127,0.8974358974358975,0.4838709677419355,0.3879781420765027,0.0,0.027649769585253458,0.7033333333333334
C_faiss_top1,300,0.51,0.48739407887854386,0.9230769230769231,0.43902439024390244,0.2459016393442623,0.0,0.056910569105691054,0.7733333333333333
"D_no_correction (reused, n=2700)",2700,0.5588888888888889,0.5588859239245916,0.8038176033934252,0.42970521541950113,0.42743312464428,0.0,,
"E_verify_only (reused, n=2700)",2700,0.4874074074074074,0.48108619734832936,0.855779427359491,0.3927007299270073,0.2896983494593056,0.0,,
